INPUT,MATH,ESAS,EE,TOTAL RATING,PREDICTED,PERCENTAGE ERROR,PASSED / FAILED-RETAKE
examinee 1,75,73,72,73.05,92,25.94,PASSED
examinee 2,77,83,78,79.25,68.9,13.06,PASSED
examinee 3,60,80,72,71.4,90.7,27.03,PASSED
examinee 4,86,89,88,87.8,83.9,4.44,PASSED
examinee 5,63,78,78,74.25,92.4,24.44,PASSED
examinee 6,79,81,71,76,97.8,28.68,PASSED
examinee 7,81,89,86,85.65,98.9,15.47,PASSED
examinee 8,83,83,91,86.6,99.2,14.55,PASSED
examinee 9,79,87,90,86.35,98.5,14.07,PASSED
examinee 10,69,77,80,76.35,96.2,26,PASSED
examinee 11,79,80,78,78.85,98.6,25.05,PASSED
examinee 12,80,87,89,86.15,98.4,14.22,PASSED
examinee 13,82,88,83,84.25,98.1,16.44,PASSED
examinee 14,74,80,77,77.15,95.7,24.04,PASSED
examinee 15,77,84,81,80.9,98.6,21.88,PASSED
examinee 16,67,76,74,72.85,90.9,24.78,PASSED
examinee 17,59,64,50,56.45,4.8,91.5,FAILED
examinee 18,70,70,70,67.85,18.1,73.32,FAILED
examinee 19,38,48,49,45.95,10.1,78.02,FAILED
examinee 20,53,63,45,52.4,9.4,82.06,FAILED
examinee 21,71,77,60,67.85,23.3,65.66,FAILED
examinee 22,49,71,57,59.2,7.6,87.16,FAILED
examinee 23,59,69,62,63.35,9.8,84.53,FAILED
examinee 24,63,64,67,65.1,16.4,74.81,FAILED
examinee 25,39,53,42,44.55,4,91.02,FAILED
examinee 26,39,55,43,45.6,2.9,93.64,FAILED
examinee 27,60,71,53,60.15,9.2,84.7,FAILED
examinee 28,49,53,48,49.75,5.9,88.14,FAILED
examinee 29,57,74,60,63.45,16,74.78,FAILED
examinee 30,50,48,48,48.5,1.9,96.08,FAILED
examinee 31,53,48,38,44.75,3.4,92.4,FAILED
examinee 32,59,59,64,61.25,3.7,93.96,FAILED
examinee 33,71,71,63,67.4,9.8,85.46,FAILED
examinee 34,70,63,57,62.05,6.3,89.85,FAILED
examinee 35,53,63,56,57.35,5.6,90.24,FAILED
examinee 36,39,53,42,44.55,1.9,95.74,FAILED image.png
